feature,coef
movie_avg_rating,0.4128709226403644
user_avg_rating,0.0756425364996681
user_avg_Drama,0.07320477473657017
user_avg_Comedy,0.05441000049825585
user_avg_Action,0.03959262446522865
timestamp,-0.02573738571494488
user_avg_Thriller,0.023485305225640817
user_avg_Sci-Fi,0.02348219421334113
user_avg_Romance,0.018584522566543523
user_avg_Animation,0.01762374064034419
user_avg_Adventure,0.01494933874687168
Drama,0.011008998767412207
user_avg_IMAX,0.010610121960557845
user_avg_Fantasy,0.010458416075650033
Horror,-0.006552774125456277
Documentary,0.0064360020040204495
user_avg_Documentary,0.006225599293046338
Animation,0.004148529306922664
Crime,0.00402686430080408
user_avg_Horror,0.003115442520297957
Fantasy,0.0024353936332352165
War,0.0019882806659515732
user_avg_Musical,0.0010982129007300516
user_avg_Mystery,0.0009532822854866728
Comedy,-0.0
userId,0.0
movieId,0.0
(no genres listed),0.0
Action,-0.0
Children,-0.0
Adventure,0.0
user_avg_(no genres listed),0.0
Musical,0.0
Mystery,0.0
Romance,0.0
Sci-Fi,0.0
Thriller,0.0
Film-Noir,0.0
Western,0.0
IMAX,0.0
user_avg_Children,0.0
user_avg_Film-Noir,-0.0
user_avg_Crime,0.0
user_avg_War,0.0
user_avg_Western,0.0
