feature,coef
movie_avg_rating,0.2914376350432316
user_avg_rating,0.17095089537247027
user_avg_Drama,0.04135168740076521
Drama,0.04072801344406697
user_avg_Sci-Fi,0.03304640709270355
user_avg_IMAX,0.032685029317661436
timestamp,0.029073672221484295
user_avg_Romance,0.02758310760138738
Animation,0.024139062319971042
user_avg_Comedy,0.023889799925626076
Crime,0.018162449410415393
Children,-0.01461404812450239
user_avg_Crime,0.013459141104885898
user_avg_Adventure,0.013031129524304201
Comedy,-0.01220145663763616
Documentary,0.012092615078820656
Horror,-0.011877163242187506
Action,-0.009043470487690664
user_avg_Documentary,0.007988004150736451
user_avg_Thriller,0.006692689242701208
user_avg_Western,0.005610489706781064
War,0.00505496212260588
user_avg_Horror,0.003998669553977914
Musical,0.003994812638861297
Film-Noir,0.003397573438138184
user_avg_Animation,0.00333206510160014
Western,0.002970440081681637
user_avg_Fantasy,0.002456031226332772
Mystery,0.0022234709648443272
Adventure,0.001929598285537843
user_avg_War,0.000984450851095626
IMAX,0.0007977894772014175
Fantasy,0.0
user_avg_Action,0.0
Thriller,-0.0
Romance,0.0
Sci-Fi,0.0
user_avg_Film-Noir,0.0
user_avg_Children,0.0
user_avg_Mystery,0.0
user_avg_Musical,0.0
